product_code,add_on_code
SFSP,EFLM
SFSP,FFEX
SFSP,OUPI
SFSP,ONAC
SFSP,H72H
SFSP,LPCL
SFSP,EXPC
SFSP,WAIV
SFSP,HPLE
SFSP,NOIV
SFSP,OEMC
SFSP,MLIN
SFSP,DLBD
SFSP,PLDC
SFSP,RFDB
SFSP,SHSC
SFSP,CLPC
SFSP,BRMK
SFSP,CPRA
SFSP,EXPE
SFSP,VHLC
SFSP,DCCC
SFSP,INVB
SFSP,OBSP
SFSP,CNSM
SFSP,UMPR
SFSP,ADDT
SFSP,CMST
SFSP,LKCT
SFSP,MMCL

IAR,EFLM
IAR,FFEX
IAR,OUPI
IAR,ONAC
IAR,H72H
IAR,LPCL
IAR,EXPC
IAR,WAIV
IAR,HPLE
IAR,NOIV
IAR,OEMC
IAR,MLIN
IAR,DLBD
IAR,PLDC
IAR,RFDB
IAR,SHSC
IAR,CLPC
IAR,BRMK
IAR,CPRA
IAR,EXPE
IAR,VHLC
IAR,DCCC
IAR,INVB
IAR,OBSP
IAR,CNSM
IAR,UMPR
IAR,ADDT
IAR,CMST
IAR,LKCT
IAR,MMCL

BLUS,ACDM
BLUS,DBRM
BLUS,ESCL
BLUS,BRMK
BLUS,EFLM
BLUS,FFEX
BLUS,VHLC
BLUS,LKCT
BLUS,CMST
BLUS,INVB
BLUS,IMRP
BLUS,EXPE
BLUS,IAER
BLUS,LREN
BLUS,SPMD
BLUS,DSPF
BLUS,DSMB

BSUS,ACDM
BSUS,DBRM
BSUS,ESCL
BSUS,BRMK
BSUS,EFLM
BSUS,FFEX
BSUS,VHLC
BSUS,LKCT
BSUS,CMST
BSUS,INVB
BSUS,IMRP
BSUS,EXPE
BSUS,IAER
BSUS,LREN
BSUS,SPMD
BSUS,DSPF
BSUS,DSMB

UVUS,ACDM
UVUS,DBRM
UVUS,ESCL
UVUS,BRMK
UVUS,EFLM
UVUS,FFEX
UVUS,VHLC
UVUS,LKCT
UVUS,CMST
UVUS,INVB
UVUS,IMRP
UVUS,EXPE
UVUS,IAER
UVUS,LREN
UVUS,SPMD
UVUS,DSPF
UVUS,DSMB

BGR,PASL
BGR,PASP
BGR,VLIT
BGR,LREN
BGR,ALAC

UVGS,PASL
UVGS,PASP
UVGS,VLIT
UVGS,LREN
UVGS,ALAC
