iib_code,eq_zone,basic_rate
1002,Zone I,0.455
1003,Zone I,0.545
1004,Zone I,0.565
1005,Zone I,0.475
1006,Zone I,0.496
1007,Zone I,0.51
1008,Zone I,0.615
1009,Zone I,0.545
1010,Zone I,0.515
1011,Zone I,0.615
1012,Zone I,0.575
1013,Zone I,0.525
1014,Zone I,0.555
1015,Zone I,0.565
1016,Zone I,0.415
1029,Zone I,0.475
1017,Zone I,0.51
1018,Zone I,0.845
1019,Zone I,1.295
1020,Zone I,1.115
1021,Zone I,1.325
1022,Zone I,1.765
1023,Zone I,0.797
1024,Zone I,0.923
1025,Zone I,1.315
1026,Zone I,0.805
1027,Zone I,0.865
1028,Zone I,1.445
2001,Zone I,1.165
2002,Zone I,1.095
2003,Zone I,1.275
2004,Zone I,2.95
2005,Zone I,1.615
2006,Zone I,0.765
2007,Zone I,1.355
2008,Zone I,1.125
2009,Zone I,1.545
2010,Zone I,1.085
2011,Zone I,1.205
2012,Zone I,2.555
2013,Zone I,1.005
2212,Zone I,1.855
2014,Zone I,1.175
2015,Zone I,3.135
2016,Zone I,1.45
2017,Zone I,1.795
2018,Zone I,1.155
2019,Zone I,1.845
2020,Zone I,1.605
2021,Zone I,1.445
2022,Zone I,0.885
2023,Zone I,0.655
2024,Zone I,1.495
2025,Zone I,0.655
2026,Zone I,1.505
2027,Zone I,2.035
2028,Zone I,2.125
2029,Zone I,1.335
2030,Zone I,1.135
2031,Zone I,1.845
2032,Zone I,1.495
2033,Zone I,1.895
2034,Zone I,2.74
2035,Zone I,2.255
2036,Zone I,2.145
2037,Zone I,1.425
2038,Zone I,1.085
2039,Zone I,9.945
2040,Zone I,0.985
2041,Zone I,1.155
2042,Zone I,1.255
2043,Zone I,2.56
2044,Zone I,1.485
2045,Zone I,1.325
2046,Zone I,3.015
2047,Zone I,1.965
2048,Zone I,3.115
2049,Zone I,1.205
2050,Zone I,1.095
2051,Zone I,0.875
2229,Zone I,1.245
2230,Zone I,1.025
2052,Zone I,6.825
2053,Zone I,1.245
2054,Zone I,2.105
2055,Zone I,1.245
2213,Zone I,1.245
2056,Zone I,1.115
2057,Zone I,2.545
2058,Zone I,1.985
2059,Zone I,0.975
2060,Zone I,1.295
2061,Zone I,1.365
2209,Zone I,1.435
2062,Zone I,2.615
2063,Zone I,2.265
2064,Zone I,2.465
2065,Zone I,1.165
2066,Zone I,1.705
2067,Zone I,1.765
2068,Zone I,1.365
2069,Zone I,2.375
2070,Zone I,0.925
2210,Zone I,1.085
2220,Zone I,1.085
2217,Zone I,0.905
2218,Zone I,1.135
2219,Zone I,1.215
2221,Zone I,1.225
2071,Zone I,1.355
2072,Zone I,1.305
2073,Zone I,0.635
2074,Zone I,1.545
2075,Zone I,0.795
2222,Zone I,0.885
2223,Zone I,0.795
2224,Zone I,0.755
2225,Zone I,1.365
2226,Zone I,0.795
2227,Zone I,2.405
2076,Zone I,0.902
2228,Zone I,1.145
2077,Zone I,3.545
2078,Zone I,2.755
2079,Zone I,1.605
2080,Zone I,2.465
2081,Zone I,2.985
2082,Zone I,1.745
2083,Zone I,1.825
2084,Zone I,3.145
2085,Zone I,2.955
2086,Zone I,3.175
2087,Zone I,1.355
2088,Zone I,1.115
