add_on_code,add_on_name,pricing_type,minimum_premium,applies_to_products,is_active
EFLM,Expenses for Loss Minimization / Prevention,FREE,0,SFSP|IAR,TRUE
FFEX,Fire Fighting Expenses,FREE,0,SFSP|IAR,TRUE
OUPI,Waiver of Under Insurance,FREE,0,SFSP|IAR,TRUE
ONAC,On Account Claim Payment Clause,FREE,0,SFSP|IAR,TRUE
H72H,72 Hours Clause,FREE,0,SFSP|IAR,TRUE
LPCL,Loss Payee Clause,FREE,0,SFSP|IAR,TRUE
ESCL,Expiration Clause,FREE,0,SFSP|IAR,TRUE
WAIV,Waivers of Recourse,FREE,0,SFSP|IAR,TRUE
HPLE,Hire Purchase / Lease / Custody Clause,FREE,0,SFSP|IAR,TRUE
NOIV,Non Invalidation Clause,FREE,0,SFSP|IAR,TRUE
OEMC,OEM Clause,FREE,0,SFSP|IAR,TRUE
MLIN,Multiple Insured Clause,FREE,0,SFSP|IAR,TRUE
DLBD,Deliberate Damage,FREE,0,SFSP|IAR,TRUE
BRMK,Brand and Trade Marks,AUTHORITY,5,UVUS|BLUS|BSUS,TRUE
EFLM_AA,Expenses for Loss Minimization / Prevention,AUTHORITY,5,UVUS|BLUS|BSUS,TRUE
FFEX_AA,Fire Fighting Expenses,AUTHORITY,5,UVUS|BLUS|BSUS,TRUE
VHLC,Vehicle Load Clause,AUTHORITY,5,UVUS|BLUS|BSUS,TRUE
LCCT,Leakage and Contamination Cover,AUTHORITY,5,UVUS|BLUS|BSUS,TRUE
CCMS,Contamination and Co-Mingling of Stocks,AUTHORITY,5,UVUS|BLUS|BSUS,TRUE
INVB,Involuntary Betterment,AUTHORITY,5,UVUS|BLUS|BSUS,TRUE
IMRP,Immediate Repair,AUTHORITY,5,UVUS|BLUS|BSUS,TRUE
EXPE,Expediting Expenses,AUTHORITY,5,UVUS|BLUS|BSUS,TRUE
PASF,PA for Self,FLAT,0,BGRP,TRUE
PASP,PA for Spouse,FLAT,0,BGRP,TRUE
VLIT,Valuable Items,PER_MILLE,0,BGRP,TRUE
LREN,Loss of Rent,PER_MILLE,0,BGRP,TRUE
ALAC,Alternate Accommodation,PER_MILLE,0,BGRP,TRUE
