add_on_code,product_group,pricing_type,rate_value,is_active
EFLM,SFSP|IAR,FREE,0,True
FFEX,SFSP|IAR,FREE,0,True
OUPI,SFSP|IAR,FREE,0,True
ONAC,SFSP|IAR,FREE,0,True
H72H,SFSP|IAR,FREE,0,True
LPCL,SFSP|IAR,FREE,0,True
ESCL,SFSP|IAR,FREE,0,True
WAIV,SFSP|IAR,FREE,0,True
HPLE,SFSP|IAR,FREE,0,True
NOIV,SFSP|IAR,FREE,0,True
OEMC,SFSP|IAR,FREE,0,True
MLIN,SFSP|IAR,FREE,0,True
DLBD,SFSP|IAR,FREE,0,True
BRMK,UVUS|BLUS,AUTHORITY,5,True
EFLM_AA,UVUS|BLUS,AUTHORITY,5,True
FFEX_AA,UVUS|BLUS,AUTHORITY,5,True
VHLC,UVUS|BLUS,AUTHORITY,5,True
LCCT,UVUS|BLUS,AUTHORITY,5,True
CCMS,UVUS|BLUS,AUTHORITY,5,True
INVB,UVUS|BLUS,AUTHORITY,5,True
IMRP,UVUS|BLUS,AUTHORITY,5,True
EXPE,UVUS|BLUS,AUTHORITY,5,True
PASF,BGRP,FLAT,7,True
PASP,BGRP,FLAT,7,True
VLIT,BGRP,PER_MILLE,0.15,True
LREN,BGRP,PER_MILLE,0.15,True
ALAC,BGRP,PER_MILLE,0.15,True
ACDM,BLUS|BSUS|UVUS,PER_MILLE,0.01,True
DBRM,BLUS|BSUS|UVUS,COMPOSITE_PERCENT,1.25,True
ESCL,BLUS|BSUS|UVUS,TOTAL_RATE_PERCENT,50,True
