occupancy_type,min_sum_insured,max_sum_insured,rate_per_mille
Residential,0,15000000000,0.07
Residential,15000000001,,0.04
Non-Industrial,0,10000000000,0.13
Non-Industrial,10000000001,250000000000,0.11
Non-Industrial,250000000001,500000000000,0.09
Non-Industrial,500000000001,1000000000000,0.07
Non-Industrial,1000000000001,,0.05
Industrial,0,5000000000,0.21
Industrial,5000000001,15000000000,0.18
Industrial,15000000001,25000000000,0.13
Industrial,250000000001,500000000000,0.09
Industrial,500000000001,1000000000000,0.07
Industrial,1000000000001,,0.05
