iib_code,product_code,basic_rate
1001,BGR,0.15
1001_2,BGR,0.15
1001,UVGR,0.15
1001_2,UVGR,0.15
1002,UVUS,0.22
1003,UVUS,0.22
1004,UVUS,0.22
1005,UVUS,0.22
1006,UVUS,0.22
1007,UVUS,0.22
1008,UVUS,0.22
1009,UVUS,0.22
1010,UVUS,0.22
1011,UVUS,0.22
1012,UVUS,0.22
1013,UVUS,0.22
1014,UVUS,0.22
1015,UVUS,0.22
1016,UVUS,0.22
1029,UVUS,0.22
1017,UVUS,0.22
1018,UVUS,0.22
1019,UVUS,0.22
1020,UVUS,0.22
1021,UVUS,0.22
1022,UVUS,0.22
1023,UVUS,0.22
1024,UVUS,0.22
1025,UVUS,0.22
1026,UVUS,0.22
1027,UVUS,0.22
1028,UVUS,0.22
2001,UVUS,0.37
2002,UVUS,0.37
2003,UVUS,0.37
2004,UVUS,0.37
2005,UVUS,0.37
2006,UVUS,0.37
2007,UVUS,0.37
2008,UVUS,0.37
2009,UVUS,0.37
2010,UVUS,0.37
2011,UVUS,0.37
2012,UVUS,0.37
2013,UVUS,0.37
2212,UVUS,0.37
2014,UVUS,0.37
2015,UVUS,0.37
2016,UVUS,0.37
2017,UVUS,0.37
2018,UVUS,0.37
2019,UVUS,0.37
2020,UVUS,0.37
2021,UVUS,0.37
2022,UVUS,0.37
2023,UVUS,0.37
2024,UVUS,0.37
2025,UVUS,0.37
2026,UVUS,0.37
2027,UVUS,0.37
2028,UVUS,0.37
2029,UVUS,0.37
2030,UVUS,0.37
2031,UVUS,0.37
2032,UVUS,0.37
2033,UVUS,0.37
2034,UVUS,0.37
2035,UVUS,0.37
2036,UVUS,0.37
2037,UVUS,0.37
2038,UVUS,0.37
2039,UVUS,0.37
2040,UVUS,0.37
2041,UVUS,0.37
2042,UVUS,0.37
2043,UVUS,0.37
2044,UVUS,0.37
2045,UVUS,0.37
2046,UVUS,0.37
2047,UVUS,0.37
2048,UVUS,0.37
2049,UVUS,0.37
2050,UVUS,0.37
2051,UVUS,0.37
